ID_REF	CT18	CT19	CT20	CT21	CT22	CT23	CT24	CT25	CT26	CT27	CT28	CT29	CT30	CT31	CT32	CT33	CT34	CT35	CT36	CT37	CT38	CT39	CT40	CT41	CT42	CT43	CT44	CT45	CT46	CT47	CT48	CT49	CT50	CT51	CT52	CT53	CT54	CT55	CT56	CT57	CT58	CT59	CT60	CT61	CT62	CT63	CT64	CT65
1424628_a_at	80998.3	88006.0	91565.4	86855.1	98171.2	92231.0	96645.8	85028.1	103513.5	103890.6	108818.1	89935.2	86726.8	97061.6	90424.1	77523.8	90756.4	87331.9	78884.2	80340.1	78871.1	80889.8	76724.8	86159.7	81579.0	90746.2	84943.0	81086.7	96227.7	84486.3	78184.8	78921.2	80603.6	96746.5	96729.6	95785.6	91936.8	79187.2	81725.8	84644.7	82247.1	79008.9	73526.9	79144.4	67250.3	74653.7	71688.3	86979.3
1423090_x_at	41746.2	49950.7	49522.8	42864.6	50394.9	41805.6	49221.6	47875.0	55632.3	43674.0	65062.0	48902.5	44313.2	34941.1	39876.3	32506.3	48200.7	46467.3	46466.4	42814.9	46028.2	52168.0	46811.7	46416.3	48974.1	45006.2	49238.6	34984.4	52188.6	43832.6	41605.7	42241.8	45675.8	56645.2	45005.4	45855.4	41802.2	42096.3	36847.1	40428.0	36088.9	39247.3	47878.1	74064.6	62933.8	70679.9	65046.3	58564.9
1417042_at	32293.6	29724.8	30102.2	28091.2	23134.8	20482.8	20924.3	18345.4	19463.3	15457.8	18006.2	19852.8	22725.3	19652.0	22725.5	27790.1	31226.2	40250.8	38720.1	40313.7	44835.0	36010.2	38722.5	32978.4	32516.9	31759.2	29204.3	23057.0	19146.5	16063.0	15938.5	16797.1	19264.9	20422.0	14687.5	23446.9	22292.2	16186.3	25156.7	28393.7	32496.3	30934.0	40736.5	40613.1	40184.2	43691.4	39175.5	36380.6
1418486_at	19299.3	28249.4	21670.4	23925.7	16295.0	13850.3	19257.8	15216.0	18343.2	21946.7	17283.3	24411.2	29933.7	25647.2	34565.5	32886.7	41631.5	25295.4	29603.5	27318.8	37877.0	37654.9	29303.7	26888.8	22395.5	20060.0	19214.1	20691.4	27393.3	20138.5	27980.0	18743.8	21155.9	20301.5	21116.3	15526.9	26831.0	32044.0	36222.9	25473.7	26328.4	31569.5	55318.6	42425.0	49887.4	32926.9	30912.1	19847.9
1423839_a_at	40405.3	36926.5	36542.4	41642.3	37041.9	45704.9	46599.7	50507.5	39135.3	40610.0	42710.9	43669.4	46594.8	41160.5	44849.5	50006.8	39054.9	40515.9	42200.9	46687.3	44683.0	47632.2	56642.2	56308.7	49315.7	46920.4	49884.4	50482.7	52826.9	50648.0	55173.7	54126.0	41010.4	39048.7	35923.7	39980.0	41833.5	56296.9	47609.8	49557.6	51141.9	49163.1	62292.3	63589.6	69502.0	70870.5	64497.8	65908.1
1434396_a_at	99343.8	95191.0	103643.4	95367.7	106157.6	102936.3	101400.2	94415.8	109451.0	111309.3	118458.9	99768.0	93070.4	96537.5	101583.9	92843.3	91880.6	89049.2	91295.0	96828.5	99679.0	99452.0	92401.6	97253.5	99361.6	97885.3	106705.9	97143.5	104591.5	94827.2	93696.1	89973.3	88311.5	97020.7	82853.6	97294.9	94606.1	100929.4	92124.4	99037.8	96151.2	90726.2	117021.7	124736.9	121068.9	108845.4	113321.4	102581.7
1424828_a_at	63068.7	60783.6	61513.6	56827.1	55919.0	53901.7	51322.2	53265.2	48785.3	51245.3	57430.3	56828.8	53911.9	45526.3	53866.4	54782.9	61846.9	65562.1	66900.6	82089.5	64352.2	65586.6	61063.0	58259.9	63915.6	64552.9	68083.0	54991.8	61464.3	54412.3	57606.1	52547.5	57956.6	59798.3	51174.0	54197.0	59667.6	56210.8	57877.3	56792.1	55992.2	62438.4	77108.4	86476.2	80517.2	71574.0	76326.0	69722.3
1452734_at	94599.0	101826.5	101126.1	94615.1	92661.3	86462.0	83997.0	90851.4	75347.1	70331.7	79320.1	99975.9	96303.9	76755.5	85733.8	82677.8	109755.2	111119.9	102473.8	94908.9	100035.1	89402.9	94942.7	98389.3	93807.8	93990.8	93013.8	90700.6	80706.1	84522.4	76426.8	82667.9	81773.4	95213.3	87099.2	87877.8	94335.0	87263.3	86906.2	86759.5	78246.4	81687.0	78112.3	85972.2	94501.8	86922.4	90875.8	91050.6
1423739_x_at	46927.7	38932.6	39599.9	44317.6	40800.0	46992.7	43337.9	40892.1	43480.9	47068.0	33895.0	41431.8	44785.4	47492.5	49250.6	48764.0	38242.6	42265.9	44837.7	33611.8	41424.8	42225.6	44142.6	47377.4	42874.2	44186.8	37236.1	47343.3	29745.3	42642.5	43433.0	42791.6	35368.7	36140.7	44675.4	42418.9	43931.7	39622.7	42569.1	42051.4	44447.5	45052.8	31337.6	13033.9	16422.7	19594.4	17600.5	20909.4
1417815_a_at	26508.0	23823.8	25716.6	31813.6	21846.0	28384.3	26318.0	28026.6	20190.5	20272.0	19593.4	22668.7	24250.7	20463.4	21612.8	27129.7	22590.1	23164.2	23876.7	33188.0	28575.6	31484.7	32459.7	32097.3	39043.0	35795.6	36793.1	39978.4	38923.4	40444.1	41785.9	34242.7	29226.7	25829.7	24394.8	24469.4	22761.6	34248.3	29347.8	31946.6	34910.2	32233.6	47733.8	36577.0	40329.4	48968.6	56328.6	51978.5
1437250_at	29040.6	29839.6	31687.1	39536.0	35259.5	44172.4	46227.8	47301.6	40982.0	44291.8	38538.3	36300.0	34543.9	31764.8	24842.3	25829.6	19709.3	19685.6	16928.3	18736.2	18078.0	23262.2	28198.6	30852.9	28649.2	29037.1	32656.6	39733.1	34829.4	46655.1	45871.1	46385.1	35515.1	36075.6	41281.4	31446.1	24080.3	34154.1	25386.8	22113.4	23783.3	27770.7	24859.9	21618.0	19975.6	23047.4	23172.8	33659.6
1417102_a_at	65401.4	67675.8	73667.4	73074.1	62202.2	72132.3	76045.8	77174.6	66591.5	70057.4	71394.4	75702.3	67483.6	69598.2	69899.2	70509.7	71780.8	69129.0	68273.1	80120.9	73963.0	78009.6	76141.0	70873.7	80325.2	75287.0	84010.5	85061.5	91545.0	89467.4	85575.6	83793.7	79879.9	74092.0	70838.0	73543.6	69913.3	75950.0	74588.3	76404.4	84753.8	75092.5	87784.2	99820.6	88259.7	96126.1	94478.8	92011.0
1418672_at	49167.3	50085.2	52477.2	52831.7	48355.9	47535.3	43554.5	51060.4	40134.1	45007.0	53047.5	54739.9	53928.9	49592.8	52722.7	51109.2	53770.0	53927.4	53020.3	56404.3	55088.4	56530.9	49335.9	49750.0	57813.2	49588.6	53537.9	50792.6	60347.3	54235.2	58666.8	51589.7	46644.7	51981.0	53092.5	50150.8	49523.6	53597.6	59250.1	57123.5	58482.9	58207.7	79346.4	89953.8	76801.7	67604.2	62374.7	60136.5
1422433_s_at	124015.5	124321.4	129301.8	121475.7	120266.0	128842.1	121340.1	122970.2	117807.1	119924.8	120774.0	119506.1	118472.4	116198.5	120344.8	123649.9	124347.0	121346.9	127074.8	117220.1	118129.7	126207.2	118211.7	118261.9	121869.4	114914.7	132738.0	128771.9	126986.7	134882.5	129539.2	123021.0	109356.6	121791.7	118135.1	123504.2	106204.3	117545.0	130967.4	119191.6	133590.4	124984.1	131715.5	156718.3	144976.8	137205.7	137703.0	134325.4
1456438_x_at	61173.5	63381.1	65061.3	60850.6	71818.1	63258.9	71185.7	60951.0	87772.4	73192.9	59431.5	58154.8	52297.0	59569.0	57865.6	56117.0	59876.4	54743.8	52509.2	47717.7	56662.2	57881.0	56603.0	56408.6	68729.2	59760.0	48265.0	55641.4	52330.6	53634.7	55066.9	55802.6	70111.6	63403.1	56151.0	57885.9	59202.5	49477.7	48017.5	53294.4	47805.5	54913.6	45784.1	38409.4	40787.3	52324.9	53614.8	46569.4
1451271_a_at	108965.7	112853.2	106736.4	111106.2	109180.2	113129.7	109140.2	112065.0	112506.9	123511.4	128175.8	121375.2	121736.9	122542.1	112806.1	116778.9	110766.8	112242.5	93301.3	113238.7	114686.4	112001.0	106649.7	103691.7	96448.5	96076.9	110218.0	96597.4	110330.1	108887.6	125208.5	109388.3	110086.3	122429.4	113622.0	113210.4	112667.5	117776.2	122200.7	109666.0	113152.6	106597.6	126176.3	131552.6	136358.5	115398.9	109256.4	114369.9
1437478_s_at	18116.6	19242.5	16192.6	13760.1	14785.1	13958.8	12469.0	13216.5	13100.4	15464.9	12426.8	15591.3	16643.8	21778.7	20542.3	26563.2	29820.2	42505.7	38106.5	45179.9	35326.8	28284.7	26276.5	24221.7	16014.2	13802.0	10117.0	11027.6	7377.4	11429.4	9426.9	11397.1	10640.4	10688.2	11811.8	15290.4	12546.7	11529.2	19419.8	24259.5	21246.0	23910.7	25253.1	18229.2	27645.3	17077.2	15804.6	10846.6
1417043_at	43697.9	45136.2	47017.9	48975.0	45075.7	41801.3	34981.8	38194.5	34271.7	37171.4	29276.0	41673.4	49388.3	41292.5	40840.7	38432.7	47117.5	50776.3	54160.6	45897.4	45757.3	39867.6	45459.7	49027.9	45353.8	52328.8	35660.9	47116.2	32834.2	41851.6	34299.8	35418.2	39512.8	39370.8	41702.4	42923.1	51258.9	37361.2	42601.9	39188.8	40497.2	43126.8	34779.3	16202.2	23075.9	19209.2	19981.4	22986.8
AFFX-BioDn-5_at	24870.9	33830.1	28833.3	26392.4	21338.5	24714.5	30191.1	29124.5	31167.3	33540.2	30976.6	27350.9	25518.3	27533.5	30744.3	31944.7	32384.6	29883.0	27378.3	31438.0	23565.1	36035.8	27454.9	21880.7	28843.0	30399.1	33628.4	26120.0	35199.4	41422.9	39205.3	34914.5	35576.9	56571.9	38015.9	34426.9	23138.5	32473.0	29631.4	29005.7	34321.7	34104.6	55651.9	63712.7	38352.1	49765.2	40451.3	39142.3
1417618_at	93362.5	98663.2	99788.2	105688.0	106539.8	102966.2	93939.9	89842.7	97952.9	110410.4	107091.6	95195.2	102806.5	105794.7	102867.9	97308.9	100218.8	97377.6	103174.3	95930.3	97180.6	92499.4	87631.0	97290.2	86013.2	95368.9	92140.4	97019.8	95899.3	98511.2	96288.8	93393.7	96368.0	99618.8	104740.5	104317.7	99607.7	101122.6	99873.8	96384.7	91060.2	100986.1	86884.1	68905.4	62057.7	88304.8	85480.6	93804.9
1416849_at	85238.4	86341.9	80573.3	93436.0	86332.1	80984.7	70692.9	82200.1	57957.0	67070.7	71687.7	89159.4	91304.6	79727.1	86438.1	86236.6	96499.3	86340.7	90975.8	93802.2	91727.2	76163.2	76699.4	81911.5	79069.1	80780.4	85939.4	90001.8	93652.9	85265.5	81118.2	84349.0	76106.4	79893.5	79700.3	97260.3	90535.9	95780.5	101651.6	90520.6	98183.9	88984.0	82371.9	87075.6	83851.4	67617.8	77548.7	84848.4
1448697_s_at	161541.5	170051.4	176302.2	157024.4	170970.8	160120.0	161569.1	162980.2	159071.6	148874.1	175968.1	168182.2	153204.0	145195.7	148190.1	148811.0	155536.0	159685.0	158176.1	151977.1	169610.4	172194.9	161408.6	167821.5	179401.4	158234.9	167438.0	154939.3	170600.7	143810.6	149908.6	154668.7	159893.6	170226.5	153528.8	161573.2	160063.3	168080.5	148407.9	158931.8	158400.5	149388.2	158649.3	157591.8	163933.7	167559.7	171646.2	164746.5
1423680_at	43970.3	39238.2	45644.4	37644.6	45633.8	42869.3	37839.0	32048.2	47854.9	50133.3	32031.5	34619.5	33788.3	50730.8	38223.5	43419.4	34305.3	42236.1	47080.3	38247.6	35431.9	36091.4	39720.3	40433.7	43451.4	37820.0	38691.6	41011.8	26344.5	38709.6	33618.8	32315.1	28859.4	32507.6	38295.8	38281.8	34104.7	32811.3	37944.2	38805.7	36027.4	46263.0	34729.5	12448.7	17801.9	17565.8	17070.6	17276.6
1431833_a_at	39390.7	42158.3	43030.4	43066.0	39855.3	42243.4	40875.3	30342.3	50776.9	56168.4	38829.4	36148.6	43872.8	56639.2	52764.9	49590.1	50320.8	41235.2	37510.4	35200.3	40075.1	36319.8	37610.1	37282.7	36673.9	36725.2	37658.3	39728.1	32229.0	40773.8	35759.4	34911.0	41195.9	40634.4	42506.4	43067.4	47556.2	41281.5	45950.6	41236.4	38066.7	41037.6	49208.3	18221.3	20877.2	20341.5	17513.1	24534.2
1415860_at	33914.4	32570.9	32889.5	30087.7	26613.0	33463.1	37844.2	37617.3	24861.8	21410.2	27073.6	32827.4	33842.3	27512.7	31032.0	37708.2	42140.1	42867.2	45462.9	46713.1	47495.0	43880.4	38356.7	37836.6	39801.2	32555.9	38501.9	36294.4	35947.8	35571.8	39188.0	33508.2	44020.5	34056.5	36405.9	32971.1	35598.2	33172.1	37247.8	39493.7	50839.2	38217.8	46301.1	67209.7	61503.5	48492.2	51882.3	44235.7
1452986_at	167016.9	150563.0	154836.9	159516.3	156178.2	161596.4	160644.5	146066.6	168454.2	167198.3	178181.9	157351.9	164119.0	161159.3	169009.2	161575.4	146364.4	157904.8	163418.1	175789.4	149943.1	162822.3	150078.3	151120.1	139097.5	149703.5	166299.7	145909.7	145475.9	143620.7	149291.4	150273.4	149167.8	162261.5	163366.8	164944.1	156632.3	156097.1	152717.4	150214.8	165892.3	157677.8	150518.2	160625.9	147627.8	145898.1	154559.6	157617.9
1417066_at	21809.1	21136.4	25492.0	27281.6	27866.0	27658.7	25509.2	26557.1	36433.7	33392.2	25865.5	25169.1	20861.6	21806.7	16423.5	11825.5	9874.8	6747.8	6540.6	5455.5	6976.1	9689.9	13170.0	13921.1	16035.3	18058.2	20577.9	22855.4	18495.8	20109.1	23498.8	29004.4	20941.3	24740.5	29839.2	23111.0	18550.4	20793.3	15039.9	9956.7	10240.2	11664.9	5088.5	3526.6	3867.6	5496.4	5577.4	9674.4
